#time;posL;posR;velL;velR
#time;posL;posR;velL;velR
2020-11-23 10:23:47.639459;-14413.0;-27537.0;221.0;224.0
#time;posL;posR;velL;velR
2020-11-23 10:23:47.737198;-11560.0;-24669.0;212.0;216.0
#time;posL;posR;velL;velR
2020-11-23 10:23:47.839625;-8774.0;-21854.0;224.0;219.0
#time;posL;posR;velL;velR
2020-11-23 10:23:47.939138;-5944.0;-19100.0;223.0;226.0
#time;posL;posR;velL;velR
2020-11-23 10:23:48.041456;-3052.0;-16190.0;218.0;219.0
#time;posL;posR;velL;velR
2020-11-23 10:23:48.137303;-306.0;-13388.0;221.0;214.0
#time;posL;posR;velL;velR
2020-11-23 10:23:48.239909;2540.0;-10602.0;222.0;223.0
#time;posL;posR;velL;velR
2020-11-23 10:23:48.337382;5376.0;-7737.0;219.0;220.0
#time;posL;posR;velL;velR
2020-11-23 10:23:48.441674;8238.0;-4888.0;217.0;218.0
#time;posL;posR;velL;velR
2020-11-23 10:23:48.538215;11014.0;-2096.0;221.0;221.0
#time;posL;posR;velL;velR
2020-11-23 10:23:48.639664;13875.0;777.0;222.0;220.0
#time;posL;posR;velL;velR
2020-11-23 10:23:48.739677;16673.0;3529.0;219.0;224.0
#time;posL;posR;velL;velR
2020-11-23 10:23:48.840012;19515.0;6425.0;221.0;220.0
#time;posL;posR;velL;velR
2020-11-23 10:23:48.937509;22348.0;9235.0;218.0;217.0
#time;posL;posR;velL;velR
2020-11-23 10:23:49.039778;25207.0;12087.0;216.0;217.0
#time;posL;posR;velL;velR
2020-11-23 10:23:49.137498;27964.0;14854.0;228.0;222.0
#time;posL;posR;velL;velR
2020-11-23 10:23:49.240028;30854.0;17711.0;219.0;220.0
#time;posL;posR;velL;velR
2020-11-23 10:23:49.337833;-31883.0;20511.0;221.0;220.0
#time;posL;posR;velL;velR
2020-11-23 10:23:49.439981;-29043.0;23385.0;220.0;219.0
#time;posL;posR;velL;velR
2020-11-23 10:23:49.537983;-26210.0;26194.0;216.0;218.0
#time;posL;posR;velL;velR
2020-11-23 10:23:49.640210;-23383.0;29034.0;220.0;221.0
#time;posL;posR;velL;velR
2020-11-23 10:23:49.737815;-20602.0;31803.0;224.0;224.0
#time;posL;posR;velL;velR
2020-11-23 10:23:49.840860;-17719.0;-30819.0;221.0;218.0
#time;posL;posR;velL;velR
2020-11-23 10:23:49.938455;-14910.0;-28061.0;216.0;219.0
#time;posL;posR;velL;velR
2020-11-23 10:23:50.041831;-12093.0;-25196.0;224.0;221.0
#time;posL;posR;velL;velR
2020-11-23 10:23:50.138317;-9245.0;-22372.0;216.0;219.0
#time;posL;posR;velL;velR
2020-11-23 10:23:50.240558;-6439.0;-19538.0;222.0;221.0
#time;posL;posR;velL;velR
2020-11-23 10:23:50.339555;-3619.0;-16757.0;219.0;223.0
#time;posL;posR;velL;velR
2020-11-23 10:23:50.441943;-774.0;-13892.0;222.0;219.0
#time;posL;posR;velL;velR
2020-11-23 10:23:50.538205;2010.0;-11082.0;223.0;221.0
#time;posL;posR;velL;velR
2020-11-23 10:23:50.641088;4921.0;-8217.0;218.0;219.0
#time;posL;posR;velL;velR
2020-11-23 10:23:50.738486;7719.0;-5393.0;215.0;216.0
#time;posL;posR;velL;velR
2020-11-23 10:23:50.841092;10526.0;-2609.0;221.0;221.0
#time;posL;posR;velL;velR
2020-11-23 10:23:50.938295;13318.0;203.0;224.0;223.0
#time;posL;posR;velL;velR
2020-11-23 10:23:51.040958;16219.0;3088.0;221.0;219.0
#time;posL;posR;velL;velR
2020-11-23 10:23:51.138805;19001.0;5898.0;219.0;216.0
#time;posL;posR;velL;velR
2020-11-23 10:23:51.241095;21871.0;8735.0;217.0;222.0
#time;posL;posR;velL;velR
2020-11-23 10:23:51.338728;24664.0;11553.0;221.0;219.0
#time;posL;posR;velL;velR
2020-11-23 10:23:51.440959;27504.0;14379.0;222.0;222.0
#time;posL;posR;velL;velR
2020-11-23 10:23:51.539059;30289.0;17190.0;223.0;221.0
#time;posL;posR;velL;velR
2020-11-23 10:23:51.640841;-32369.0;20048.0;219.0;221.0
#time;posL;posR;velL;velR
2020-11-23 10:23:51.738920;-29554.0;22859.0;219.0;218.0
#time;posL;posR;velL;velR
2020-11-23 10:23:51.841409;-26713.0;25700.0;216.0;219.0
#time;posL;posR;velL;velR
2020-11-23 10:23:51.939217;-23930.0;28497.0;222.0;223.0
#time;posL;posR;velL;velR
2020-11-23 10:23:52.041140;-21043.0;31361.0;218.0;220.0
#time;posL;posR;velL;velR
2020-11-23 10:23:52.139468;-18271.0;-31375.0;223.0;220.0
#time;posL;posR;velL;velR
2020-11-23 10:23:52.241876;-15403.0;-28517.0;206.0;218.0
#time;posL;posR;velL;velR
2020-11-23 10:23:52.340697;-12784.0;-25754.0;149.0;215.0
#time;posL;posR;velL;velR
2020-11-23 10:23:52.443661;-10891.0;-22908.0;73.0;218.0
#time;posL;posR;velL;velR
2020-11-23 10:23:52.539593;-9976.0;-20170.0;32.0;200.0
#time;posL;posR;velL;velR
2020-11-23 10:23:52.641811;-9571.0;-17571.0;6.0;173.0
#time;posL;posR;velL;velR
2020-11-23 10:23:52.739283;-9452.0;-15357.0;-12.0;143.0
#time;posL;posR;velL;velR
2020-11-23 10:23:52.841855;-9616.0;-13491.0;-56.0;112.0
#time;posL;posR;velL;velR
2020-11-23 10:23:52.939439;-10334.0;-12033.0;-83.0;88.0
#time;posL;posR;velL;velR
2020-11-23 10:23:53.041917;-11398.0;-10915.0;-81.0;71.0
#time;posL;posR;velL;velR
2020-11-23 10:23:53.139406;-12427.0;-9985.0;-84.0;88.0
#time;posL;posR;velL;velR
2020-11-23 10:23:53.242015;-13528.0;-8825.0;-84.0;83.0
#time;posL;posR;velL;velR
2020-11-23 10:23:53.339780;-14605.0;-7737.0;-82.0;77.0
#time;posL;posR;velL;velR
2020-11-23 10:23:53.442226;-15642.0;-6721.0;-83.0;83.0
#time;posL;posR;velL;velR
2020-11-23 10:23:53.539772;-16700.0;-5665.0;-84.0;86.0
#time;posL;posR;velL;velR
2020-11-23 10:23:53.642124;-17802.0;-4549.0;-82.0;78.0
#time;posL;posR;velL;velR
2020-11-23 10:23:53.739689;-18807.0;-3553.0;-86.0;88.0
#time;posL;posR;velL;velR
2020-11-23 10:23:53.842150;-19910.0;-2435.0;-84.0;82.0
#time;posL;posR;velL;velR
2020-11-23 10:23:53.939838;-20987.0;-1370.0;-81.0;78.0
#time;posL;posR;velL;velR
2020-11-23 10:23:54.042640;-22054.0;-324.0;-85.0;85.0
#time;posL;posR;velL;velR
2020-11-23 10:23:54.139963;-23116.0;766.0;-83.0;84.0
#time;posL;posR;velL;velR
2020-11-23 10:23:54.242380;-24190.0;1835.0;-82.0;82.0
#time;posL;posR;velL;velR
2020-11-23 10:23:54.340386;-25254.0;2886.0;-85.0;83.0
#time;posL;posR;velL;velR
2020-11-23 10:23:54.442105;-26345.0;3988.0;-84.0;82.0
#time;posL;posR;velL;velR
2020-11-23 10:23:54.541068;-27385.0;5016.0;-82.0;83.0
#time;posL;posR;velL;velR
2020-11-23 10:23:54.643316;-28443.0;6076.0;-85.0;82.0
#time;posL;posR;velL;velR
2020-11-23 10:23:54.739920;-29534.0;7165.0;-82.0;80.0
#time;posL;posR;velL;velR
2020-11-23 10:23:54.842402;-30618.0;8241.0;-83.0;84.0
#time;posL;posR;velL;velR
2020-11-23 10:23:54.939842;-31638.0;9284.0;-84.0;83.0
#time;posL;posR;velL;velR
2020-11-23 10:23:55.042714;-32725.0;10359.0;-84.0;83.0
#time;posL;posR;velL;velR
2020-11-23 10:23:55.139954;31731.0;11419.0;-82.0;82.0
#time;posL;posR;velL;velR
2020-11-23 10:23:55.242771;30674.0;12491.0;-83.0;83.0
#time;posL;posR;velL;velR
2020-11-23 10:23:55.340362;29635.0;13533.0;-85.0;83.0
#time;posL;posR;velL;velR
2020-11-23 10:23:55.442732;28524.0;14630.0;-81.0;79.0
#time;posL;posR;velL;velR
2020-11-23 10:23:55.540468;27474.0;15684.0;-83.0;84.0
#time;posL;posR;velL;velR
2020-11-23 10:23:55.642945;26434.0;16769.0;-84.0;84.0
#time;posL;posR;velL;velR
2020-11-23 10:23:55.740551;25358.0;17829.0;-83.0;82.0
#time;posL;posR;velL;velR
2020-11-23 10:23:55.842600;24271.0;18909.0;-77.0;75.0
#time;posL;posR;velL;velR
2020-11-23 10:23:55.940218;23308.0;19861.0;-52.0;42.0
#time;posL;posR;velL;velR
2020-11-23 10:23:56.042993;22677.0;20427.0;-13.0;7.0
#time;posL;posR;velL;velR
2020-11-23 10:23:56.140556;22503.0;20556.0;4.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:23:56.243406;22586.0;20556.0;-1.0;-1.0
#time;posL;posR;velL;velR
2020-11-23 10:23:56.340630;22571.0;20556.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:23:56.442939;22572.0;20557.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:23:56.540930;22572.0;20557.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:23:56.642874;22571.0;20557.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:23:56.740797;22571.0;20557.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:23:56.843484;22571.0;20557.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:23:56.942181;22571.0;20557.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:23:57.044910;22571.0;20557.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:23:57.141009;22571.0;20557.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:23:57.243599;22571.0;20557.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:23:57.354973;22571.0;20557.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:23:57.444204;22571.0;20557.0;0.0;0.0
#time;posL;posR;velL;velR
2020-11-23 10:23:57.543927;22571.0;20557.0;0.0;0.0
