#time;x;y;z
#time;x;y;z
2020-11-23 10:31:34.329720;0.588;0.243;-14.967820156791703
#time;x;y;z
2020-11-23 10:31:34.432358;0.61;0.237;-14.967820156791703
#time;x;y;z
2020-11-23 10:31:34.532066;0.631;0.232;-14.967820156791703
#time;x;y;z
2020-11-23 10:31:34.632260;0.652;0.227;-14.967820156791703
#time;x;y;z
2020-11-23 10:31:34.729974;0.674;0.221;-14.967820156791703
#time;x;y;z
2020-11-23 10:31:34.832351;0.695;0.216;-14.967820156791703
#time;x;y;z
2020-11-23 10:31:34.930061;0.717;0.211;-14.967820156791703
#time;x;y;z
2020-11-23 10:31:35.032243;0.759;0.2;-14.967820156791703
#time;x;y;z
2020-11-23 10:31:35.130783;0.781;0.195;-14.967820156791703
#time;x;y;z
2020-11-23 10:31:35.233949;0.802;0.189;-14.880113150422261
#time;x;y;z
2020-11-23 10:31:35.331543;0.824;0.184;-14.880113150422261
#time;x;y;z
2020-11-23 10:31:35.433727;0.824;0.184;-14.880113150422261
#time;x;y;z
2020-11-23 10:31:35.530338;0.845;0.179;-14.967820156791703
#time;x;y;z
2020-11-23 10:31:35.632991;0.866;0.173;-14.880113150422261
#time;x;y;z
2020-11-23 10:31:35.730356;0.881;0.17;-14.880113150422261
#time;x;y;z
2020-11-23 10:31:35.833007;0.881;0.17;-15.055527163161116
#time;x;y;z
2020-11-23 10:31:35.930830;0.878;0.17;-14.967820156791703
#time;x;y;z
2020-11-23 10:31:36.032793;0.879;0.17;-14.967820156791703
#time;x;y;z
2020-11-23 10:31:36.130784;0.88;0.17;-15.055527163161116
#time;x;y;z
2020-11-23 10:31:36.233245;0.88;0.17;-15.055527163161116
#time;x;y;z
2020-11-23 10:31:36.330700;0.879;0.17;-15.055527163161116
#time;x;y;z
2020-11-23 10:31:36.432891;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:36.530909;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:36.633335;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:36.731059;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:36.833519;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:36.934785;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:37.035348;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:37.131086;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:37.233481;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:37.331086;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:37.433655;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:37.531292;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:37.633776;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:37.732549;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:37.833832;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:37.931182;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:38.033934;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:38.131241;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:38.233714;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:38.331514;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:38.433853;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:38.531447;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:38.633749;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:38.731614;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:38.834427;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:38.931640;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:39.033778;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:39.131733;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:39.234217;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:39.332548;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:39.434438;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:39.532187;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:39.634509;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:39.731903;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:39.834311;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:39.931949;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:40.034213;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:40.132373;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:40.234543;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:40.332094;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:40.435230;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:40.532263;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:40.635035;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:40.732411;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:40.834966;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:40.932592;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:41.035381;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:41.132798;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:41.235441;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:41.332714;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:41.435109;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:41.532736;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:41.635082;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:41.732871;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:41.835470;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:41.933055;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:42.035537;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:42.133166;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:42.237675;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:42.332877;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:42.435214;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:42.533188;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:42.635786;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:42.733466;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:42.835392;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:42.933944;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:43.035565;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:43.133496;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:43.236070;0.879;0.17;-15.143234169530558
#time;x;y;z
2020-11-23 10:31:43.333671;0.879;0.17;-15.143234169530558
